N,a_blob,radius,length,axial_slope,axial_intercept,axial_r2,axial_resistance,axial_err_pct,transverse_slope,transverse_intercept,transverse_r2,transverse_resistance,transverse_err_pct,mean_slope,mean_err_pct,anisotropy_ratio,max_Re,schur_cond_num
12,0.6266570686577501,1.0,2.0,0.03684934584472457,0.0,1.0,27.13752380337472,14.9299799414909,0.035850502937791955,0.0,1.0,27.893611471370626,17.23589838265155,0.03618345057343616,16.467258902264664,0.9728938768372845,0.07369869168944912,3.0838468884219163
42,0.3349622928453394,1.0,2.0,0.04008407502159584,-1.734723475976807e-18,1.0,24.947563326863264,7.462317499942321,0.03949970823198656,1.734723475976807e-18,1.0,25.316642698393593,8.811380648120421,0.03969449716185632,8.361692932061056,0.9854214725101069,0.08016815004319167,2.575132540619696
162,0.17055445132441474,1.0,2.0,0.04188218307311585,0.0,1.0,23.876501333615998,3.3112237829809175,0.041404089818389826,-1.734723475976807e-18,1.0,24.152203426914728,4.414944943751628,0.04156345423663183,4.047037890161397,0.9885848057659413,0.0837643661462317,2.3891466027210035
642,0.08567479064099323,1.0,2.0,0.04305999032347783,-1.734723475976807e-18,0.9999999999999996,23.22341441527832,0.5921501029336191,0.04264477134717681,0.0,1.0,23.44953363353424,1.5507203524963467,0.04278317767261048,1.2311969359754482,0.990357197640274,0.08611998064695565,2.259244459696283
2562,0.04288752687108626,1.0,2.0,0.04363337746034477,-3.469446951953614e-18,1.0,22.918235034838364,0.7315655320766321,0.043240835985341626,-1.734723475976807e-18,1.0,23.12628739044254,0.1746516716975541,0.04337168314367601,0.12742072956051329,0.991003642214956,0.08726675492068953,2.204549181113556
