N,radius,length,orientation,force,velocity,theory_velocity,numerical_mobility,theoretical_mobility,relative_error,angular_velocity,Re,dt
12,1.0,2.0,axial,0.01,0.0003684934584472456,0.0004331648895742646,0.03684934584472456,0.04331648895742646,14.929979941490917,2.7669255169817764e-06,0.0007369869168944912,deterministic_mobility
12,1.0,2.0,transverse,0.01,0.0003585050293779196,0.0004331648895742646,0.035850502937791955,0.04331648895742646,17.235898382651545,3.829925662255295e-06,0.0007170100587558392,deterministic_mobility
12,1.0,2.0,axial,0.02,0.0007369869168944912,0.0008663297791485292,0.03684934584472456,0.04331648895742646,14.929979941490917,5.533851033963553e-06,0.0014739738337889825,deterministic_mobility
12,1.0,2.0,transverse,0.02,0.0007170100587558392,0.0008663297791485292,0.035850502937791955,0.04331648895742646,17.235898382651545,7.65985132451059e-06,0.0014340201175116784,deterministic_mobility
12,1.0,2.0,axial,0.05,0.001842467292236228,0.002165824447871323,0.03684934584472456,0.04331648895742646,14.929979941490926,1.3834627584908883e-05,0.003684934584472456,deterministic_mobility
12,1.0,2.0,transverse,0.05,0.001792525146889598,0.002165824447871323,0.035850502937791955,0.04331648895742646,17.235898382651545,1.9149628311276477e-05,0.003585050293779196,deterministic_mobility
12,1.0,2.0,axial,0.1,0.003684934584472456,0.004331648895742646,0.03684934584472456,0.04331648895742646,14.929979941490926,2.7669255169817766e-05,0.007369869168944912,deterministic_mobility
12,1.0,2.0,transverse,0.1,0.003585050293779196,0.004331648895742646,0.035850502937791955,0.04331648895742646,17.235898382651545,3.8299256622552954e-05,0.007170100587558392,deterministic_mobility
12,1.0,2.0,axial,0.2,0.007369869168944912,0.008663297791485293,0.03684934584472456,0.04331648895742646,14.929979941490926,5.533851033963553e-05,0.014739738337889824,deterministic_mobility
12,1.0,2.0,transverse,0.2,0.007170100587558392,0.008663297791485293,0.035850502937791955,0.04331648895742646,17.235898382651545,7.659851324510591e-05,0.014340201175116784,deterministic_mobility
12,1.0,2.0,axial,0.5,0.01842467292236228,0.02165824447871323,0.03684934584472456,0.04331648895742646,14.929979941490917,0.0001383462758490888,0.03684934584472456,deterministic_mobility
12,1.0,2.0,transverse,0.5,0.017925251468895977,0.02165824447871323,0.035850502937791955,0.04331648895742646,17.23589838265155,0.00019149628311276477,0.035850502937791955,deterministic_mobility
12,1.0,2.0,axial,1.0,0.03684934584472456,0.04331648895742646,0.03684934584472456,0.04331648895742646,14.929979941490917,0.0002766925516981776,0.07369869168944912,deterministic_mobility
12,1.0,2.0,transverse,1.0,0.035850502937791955,0.04331648895742646,0.035850502937791955,0.04331648895742646,17.23589838265155,0.00038299256622552954,0.07170100587558391,deterministic_mobility
42,1.0,2.0,axial,0.01,0.0004008407502159584,0.0004331648895742646,0.04008407502159583,0.04331648895742646,7.462317499942331,9.72660017228018e-07,0.0008016815004319168,deterministic_mobility
42,1.0,2.0,transverse,0.01,0.00039499708231986567,0.0004331648895742646,0.03949970823198656,0.04331648895742646,8.81138064812042,2.73430199629298e-06,0.0007899941646397313,deterministic_mobility
42,1.0,2.0,axial,0.02,0.0008016815004319168,0.0008663297791485292,0.04008407502159583,0.04331648895742646,7.462317499942331,1.945320034456036e-06,0.0016033630008638335,deterministic_mobility
42,1.0,2.0,transverse,0.02,0.0007899941646397313,0.0008663297791485292,0.03949970823198656,0.04331648895742646,8.81138064812042,5.46860399258596e-06,0.0015799883292794627,deterministic_mobility
42,1.0,2.0,axial,0.05,0.0020042037510797917,0.002165824447871323,0.04008407502159583,0.04331648895742646,7.4623174999423485,4.863300086140091e-06,0.004008407502159583,deterministic_mobility
42,1.0,2.0,transverse,0.05,0.0019749854115993283,0.002165824447871323,0.03949970823198656,0.04331648895742646,8.811380648120428,1.3671509981464902e-05,0.0039499708231986565,deterministic_mobility
42,1.0,2.0,axial,0.1,0.004008407502159583,0.004331648895742646,0.04008407502159583,0.04331648895742646,7.4623174999423485,9.726600172280182e-06,0.008016815004319167,deterministic_mobility
42,1.0,2.0,transverse,0.1,0.0039499708231986565,0.004331648895742646,0.03949970823198656,0.04331648895742646,8.811380648120428,2.7343019962929803e-05,0.007899941646397313,deterministic_mobility
42,1.0,2.0,axial,0.2,0.008016815004319167,0.008663297791485293,0.04008407502159583,0.04331648895742646,7.4623174999423485,1.9453200344560364e-05,0.016033630008638333,deterministic_mobility
42,1.0,2.0,transverse,0.2,0.007899941646397313,0.008663297791485293,0.03949970823198656,0.04331648895742646,8.811380648120428,5.4686039925859607e-05,0.015799883292794626,deterministic_mobility
42,1.0,2.0,axial,0.5,0.020042037510797917,0.02165824447871323,0.04008407502159583,0.04331648895742646,7.462317499942338,4.8633000861400896e-05,0.04008407502159583,deterministic_mobility
42,1.0,2.0,transverse,0.5,0.01974985411599328,0.02165824447871323,0.03949970823198656,0.04331648895742646,8.811380648120421,0.000136715099814649,0.03949970823198656,deterministic_mobility
42,1.0,2.0,axial,1.0,0.04008407502159583,0.04331648895742646,0.04008407502159583,0.04331648895742646,7.462317499942338,9.726600172280179e-05,0.08016815004319167,deterministic_mobility
42,1.0,2.0,transverse,1.0,0.03949970823198656,0.04331648895742646,0.03949970823198656,0.04331648895742646,8.811380648120421,0.000273430199629298,0.07899941646397313,deterministic_mobility
162,1.0,2.0,axial,0.01,0.00041882183073115855,0.0004331648895742646,0.04188218307311585,0.04331648895742646,3.311223782980912,3.0973857402786636e-07,0.0008376436614623171,deterministic_mobility
162,1.0,2.0,transverse,0.01,0.00041404089818389826,0.0004331648895742646,0.041404089818389826,0.04331648895742646,4.414944943751635,7.520519923354601e-07,0.0008280817963677965,deterministic_mobility
162,1.0,2.0,axial,0.02,0.0008376436614623171,0.0008663297791485292,0.04188218307311585,0.04331648895742646,3.311223782980912,6.194771480557327e-07,0.0016752873229246342,deterministic_mobility
162,1.0,2.0,transverse,0.02,0.0008280817963677965,0.0008663297791485292,0.041404089818389826,0.04331648895742646,4.414944943751635,1.5041039846709202e-06,0.001656163592735593,deterministic_mobility
162,1.0,2.0,axial,0.05,0.0020941091536557928,0.002165824447871323,0.04188218307311585,0.04331648895742646,3.311223782980917,1.548692870139332e-06,0.0041882183073115855,deterministic_mobility
162,1.0,2.0,transverse,0.05,0.0020702044909194912,0.002165824447871323,0.041404089818389826,0.04331648895742646,4.414944943751643,3.7602599616773004e-06,0.0041404089818389824,deterministic_mobility
162,1.0,2.0,axial,0.1,0.0041882183073115855,0.004331648895742646,0.04188218307311585,0.04331648895742646,3.311223782980917,3.097385740278664e-06,0.008376436614623171,deterministic_mobility
162,1.0,2.0,transverse,0.1,0.0041404089818389824,0.004331648895742646,0.041404089818389826,0.04331648895742646,4.414944943751643,7.520519923354601e-06,0.008280817963677965,deterministic_mobility
162,1.0,2.0,axial,0.2,0.008376436614623171,0.008663297791485293,0.04188218307311585,0.04331648895742646,3.311223782980917,6.194771480557328e-06,0.016752873229246342,deterministic_mobility
162,1.0,2.0,transverse,0.2,0.008280817963677965,0.008663297791485293,0.041404089818389826,0.04331648895742646,4.414944943751643,1.5041039846709202e-05,0.01656163592735593,deterministic_mobility
162,1.0,2.0,axial,0.5,0.020941091536557925,0.02165824447871323,0.04188218307311585,0.04331648895742646,3.3112237829809175,1.548692870139332e-05,0.04188218307311585,deterministic_mobility
162,1.0,2.0,transverse,0.5,0.020702044909194913,0.02165824447871323,0.041404089818389826,0.04331648895742646,4.414944943751628,3.7602599616773e-05,0.041404089818389826,deterministic_mobility
162,1.0,2.0,axial,1.0,0.04188218307311585,0.04331648895742646,0.04188218307311585,0.04331648895742646,3.3112237829809175,3.097385740278664e-05,0.0837643661462317,deterministic_mobility
162,1.0,2.0,transverse,1.0,0.041404089818389826,0.04331648895742646,0.041404089818389826,0.04331648895742646,4.414944943751628,7.5205199233546e-05,0.08280817963677965,deterministic_mobility
642,1.0,2.0,axial,0.01,0.0004305999032347783,0.0004331648895742646,0.04305999032347783,0.04331648895742646,0.5921501029336196,3.538652392097063e-07,0.0008611998064695566,deterministic_mobility
