N,a_blob,U_axial,U_transverse,U_mean_isotropic,Rh_axial,Rh_transverse,Rh_mean_isotropic,mobility_ratio_Utr_over_Uax,resistance_ratio_Rhtr_over_Rhax,U_surf_theory,Rh_surf_theory,err_axial_vs_surf_pct,err_trans_vs_surf_pct,err_mean_vs_surf_pct,err_mean_vs_hd_pct,err_mean_vs_tg_pct,omega_axial_raw,omega_trans_raw,omega_rel_axial,omega_rel_trans,matrix_dim,schur_cond_num,cholesky_success,runtime_seconds
12,0.6266570686577501,0.03684934584472456,0.035850502937791955,0.03618345057343616,27.13752380337472,27.893611471370626,27.63694407669741,0.9728938768372845,1.0278613359669124,0.04331648895742646,23.08589694291355,14.929979941490917,17.23589838265155,16.467258902264664,20.980984490728837,12.221110036265316,0.0002766925516981776,0.00038299256622552954,0.007508750707925784,0.010683045838718106,36x36,3.0838468884219163,True,0.001836538314819336
42,0.3349622928453394,0.04008407502159583,0.03949970823198656,0.03969449716185632,24.947563326863264,25.316642698393593,25.192408809776563,0.9854214725101069,1.014794205217345,0.04331648895742646,23.08589694291355,7.462317499942338,8.811380648120421,8.361692932061056,13.313406069453926,3.7035207168890296,9.726600172280179e-05,0.000273430199629298,0.0024265497375303893,0.0069223346669653706,126x126,2.575132540619696,True,0.001735687255859375
162,0.17055445132441474,0.04188218307311585,0.041404089818389826,0.04156345423663183,23.876501333615998,24.152203426914728,24.059597989780475,0.9885848057659413,1.0115470055451787,0.04331648895742646,23.08589694291355,3.3112237829809175,4.414944943751628,4.047037890161397,9.231895164955816,0.830457519396229,3.097385740278664e-05,7.5205199233546e-05,0.0007395473475848669,0.0018163712706502546,486x486,2.3891466027210035,True,0.01022195816040039
642,0.08567479064099323,0.04305999032347783,0.04264477134717681,0.04278317767261048,23.22341441527832,23.44953363353424,23.373672887327245,0.990357197640274,1.0097366913500523,0.04331648895742646,23.08589694291355,0.5921501029336191,1.5507203524963467,1.2311969359754482,6.568209320262605,3.789433724710376,3.538652392097063e-05,6.643701648090044e-05,0.0008217959097328605,0.0015579170524805436,1926x1926,2.259244459696283,True,0.15771055221557617
2562,0.04288752687108626,0.04363337746034476,0.043240835985341626,0.04337168314367601,22.918235034838364,23.12628739044254,23.056518159263764,0.991003642214956,1.0090780269635908,0.04331648895742646,23.08589694291355,0.7315655320766161,0.1746516716975541,0.12742072956051329,5.283005112028303,5.217112847873982,8.261075982722373e-06,5.628987645974662e-06,0.00018932928101268967,0.00013017758601806064,7686x7686,2.204549181113556,True,3.0482723712921143
