N,Mx,My,Mz,diff_Mx_Mz,relative_isotropy_error_xz,diff_Mx_My,relative_isotropy_error_xy,max_transverse_velocity,max_angular_velocity,stokes_error_Mx_percent,stokes_error_Mz_percent,status
42,0.05305060333993416,0.05305060333993411,0.053050603339934124,3.469446951953614e-17,6.539882175745152e-16,4.85722573273506e-17,9.155835046043215e-16,1.0415752516635319e-17,1.1456664136200694e-17,0.001968567254024753,0.001968567254090151,PASS
162,0.05305340704968184,0.053053407049681825,0.05305340704968185,1.3877787807814457e-17,2.6158146252169263e-16,1.3877787807814457e-17,2.6158146252169277e-16,2.0285295803385716e-17,8.143558220964626e-18,0.003316301113640817,0.003316301113666976,PASS
642,0.05304958350485308,0.05304958350485306,0.05304958350485308,0.0,0.0,2.0816681711721685e-17,3.92400473979543e-16,9.817712550439861e-18,1.426141418248728e-17,0.0038909110931785854,0.0038909110931785854,PASS
