N,shape,sphere_type,Rg,Rh,blob_radius,force,eta,Ux,Uy,Uz,U_mag,U_theory,absolute_error,relative_error_percent,Omega_x,Omega_y,Omega_z,Omega_mag,alignment_angle_deg,runtime_seconds,solver_method
12,sphere,Rh_calibrated,0.7921,1.0,0.41642068286675,1.0,1.0,5.589596023626148e-20,-3.1768296149932265e-18,0.053053860694758724,0.053053860694758724,0.05305164769729845,2.2129974602755342e-06,0.004171401938168693,-1.4246738752001866e-18,-2.194591058522185e-18,-9.86876446753415e-19,2.7963995934022177e-18,0.0,0.0008695125579833984,Cholesky
42,sphere,Rh_calibrated,0.8913,1.0,0.243553056072,1.0,1.0,3.124574504388448e-19,1.0411064826878193e-17,0.053050603339934124,0.053050603339934124,0.05305164769729845,1.0443573643242887e-06,0.001968567254090151,2.3129279056178864e-18,7.326568203611905e-18,-8.498642008635512e-18,1.1456664136200694e-17,0.0,0.0011255741119384766,Cholesky
162,sphere,Rh_calibrated,0.9497,1.0,0.13100877695,1.0,1.0,1.1718392920936476e-19,-1.7612282055803533e-20,0.05305340704968185,0.05305340704968185,0.05305164769729845,1.759352383404189e-06,0.003316301113666976,1.6788878641833757e-18,-4.149576800226921e-18,6.802932339569226e-18,8.143558220964626e-18,0.0,0.01014566421508789,Cholesky
642,sphere,Rh_calibrated,0.9767,1.0,0.067527675333,1.0,1.0,-1.2204899894715984e-19,-9.816953894407387e-18,0.05304958350485308,0.05304958350485308,0.05305164769729845,2.064192445368207e-06,0.0038909110931785854,-3.890800311252222e-18,9.16338102611087e-19,2.5100939068333093e-18,4.720018432321952e-18,0.0,0.18506264686584473,Cholesky
2562,sphere,Rh_calibrated,0.9888,1.0,0.034204978919,1.0,1.0,-3.143376705199219e-15,9.594635354239167e-16,0.053053236596988206,0.053053236596988206,0.05305164769729845,1.5888996897570062e-06,0.002995005355579027,3.0950969794795095e-16,-4.1195276320951256e-17,6.672345066228016e-16,7.366784853266484e-16,0.0,1.068331241607666,GMRES (Numba)
