N,shape,sphere_type,Rg,Rh_nominal,blob_radius,force,eta,Ux,Uy,Uz,U_mag,U_theory,absolute_error,relative_error_fraction,relative_error_percent,Omega_x,Omega_y,Omega_z,Omega_mag,alignment_angle_deg,runtime_seconds,solver_method
12,sphere,Rg_geometric,1.0,1.2625,0.525731112119,1.0,1.0,5.919250604249572e-19,7.207030443822241e-18,0.04202285995625867,0.04202285995625867,0.05305164769729845,0.011028787741039776,0.20788775127151038,20.788775127151037,2.1423946198264738e-18,1.793739937500678e-18,-2.7031752095241407e-19,2.8072102223702835e-18,0.0,0.003502368927001953,Cholesky
42,sphere,Rg_geometric,1.0,1.122,0.273266528913,1.0,1.0,-3.723029092898817e-19,4.832655869733645e-18,0.047282177664836375,0.047282177664836375,0.05305164769729845,0.0057694700324620735,0.10875194801453589,10.875194801453588,1.1761404243463005e-18,5.713084257671152e-18,3.688363483795139e-18,6.9012073741936524e-18,0.0,0.0011949539184570312,Cholesky
162,sphere,Rg_geometric,1.0,1.053,0.137952242128,1.0,1.0,1.4091267201780372e-19,5.57515730775162e-18,0.05038310261153682,0.05038310261153682,0.05305164769729845,0.0026685450857616283,0.05030088982321126,5.030088982321126,-2.8626274995134548e-18,-5.812356234983815e-18,5.714502485921546e-18,8.639077489230514e-18,0.0,0.010501384735107422,Cholesky
642,sphere,Rg_geometric,1.0,1.0239,0.069141586774,1.0,1.0,-1.0710431377731441e-19,-2.967483619929668e-17,0.05181129358799504,0.05181129358799504,0.05305164769729845,0.0012403541093034057,0.02338012414582494,2.338012414582494,3.8775315430692944e-18,-4.95762391513286e-19,-4.421545131527836e-18,5.90178723493772e-18,0.0,0.24096202850341797,Cholesky
2562,sphere,Rg_geometric,1.0,1.0113,0.034591495181,1.0,1.0,-3.843777830355501e-15,5.821446957927153e-15,0.05246043369629724,0.05246043369629724,0.05305164769729845,0.0005912140010012057,0.011144121373468898,1.1144121373468898,-3.773675413938619e-16,-4.725037995831515e-16,-9.18514982775794e-16,1.0996980837947204e-15,0.0,4.793730020523071,GMRES (Numba)
