case,Fx,Fy,Fz,Tx,Ty,Tz,Ux,Uy,Uz,Omega_x,Omega_y,Omega_z,U_mag,Omega_mag
Pure Force +Fx,1.0,0.0,0.0,0.0,0.0,0.0,6.87991753e-02,-4.32931436e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.97472619e-03,6.89352558e-02,5.97472619e-03
Pure Force +Fy,0.0,1.0,0.0,0.0,0.0,0.0,-4.32931436e-03,6.87991753e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.97472619e-03,6.89352558e-02,5.97472619e-03
Pure Force +Fz,0.0,0.0,1.0,0.0,0.0,0.0,0.00000000e+00,0.00000000e+00,5.91423262e-02,-9.45696397e-03,9.45696397e-03,0.00000000e+00,5.91423262e-02,1.33741667e-02
Pure Torque +Tx,0.0,0.0,0.0,1.0,0.0,0.0,0.00000000e+00,0.00000000e+00,-9.45696397e-03,7.60372079e-02,-4.09957257e-02,0.00000000e+00,9.45696397e-03,8.63846428e-02
Pure Torque +Ty,0.0,0.0,0.0,0.0,1.0,0.0,0.00000000e+00,0.00000000e+00,9.45696397e-03,-4.09957257e-02,7.60372079e-02,0.00000000e+00,9.45696397e-03,8.63846428e-02
Pure Torque +Tz,0.0,0.0,0.0,0.0,0.0,1.0,5.97472619e-03,-5.97472619e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.07995847e-02,8.44953881e-03,3.07995847e-02
