force,simulated_velocity,theoretical_velocity,fitted_velocity,fit_residual,absolute_error_theory,relative_error_percent
0.1,0.005305340704968186,0.005305164769729845,0.005305340704968218,-3.209238430557093e-17,1.7593523834059238e-07,0.0033163011136702453
0.5,0.026526703524840926,0.026525823848649224,0.026526703524840975,-4.85722573273506e-17,8.796761917020945e-07,0.003316301113666976
1.0,0.05305340704968185,0.05305164769729845,0.05305340704968192,-6.938893903907228e-17,1.759352383404189e-06,0.003316301113666976
2.0,0.1061068140993637,0.1061032953945969,0.10610681409936382,-1.1102230246251565e-16,3.518704766808378e-06,0.003316301113666976
5.0,0.2652670352484093,0.2652582384864922,0.26526703524840944,-1.6653345369377348e-16,8.796761917062579e-06,0.003316301113682672
10.0,0.5305340704968186,0.5305164769729844,0.5305340704968189,-3.3306690738754696e-16,1.7593523834125158e-05,0.003316301113682672
