shape,N_blobs,sphere_type,R_g,R_h,blob_radius,viscosity,orientation,force,force_x,force_y,force_z,velocity_x,velocity_y,velocity_z,simulated_velocity,omega_x,omega_y,omega_z,angular_velocity,angle_U_F_deg,theoretical_velocity,absolute_error,relative_error_percent,runtime_seconds
sphere,162,Rh_calibrated,0.9497,1.0,0.13100877695,1.0,"[1.0, 0.0, 0.0, 0.0]",0.1,0.0,0.0,0.1,1.1718392920936476e-20,-1.7612282055803534e-21,0.005305340704968186,0.005305340704968186,1.6788878641833758e-19,-4.149576800226921e-19,6.8029323395692265e-19,8.143558220964626e-19,0.0,0.005305164769729845,1.7593523834059238e-07,0.0033163011136702453,0.03308391571044922
sphere,162,Rh_calibrated,0.9497,1.0,0.13100877695,1.0,"[1.0, 0.0, 0.0, 0.0]",0.5,0.0,0.0,0.5,5.859196460468238e-20,-8.806141027901766e-21,0.026526703524840926,0.026526703524840926,8.3944393209168785e-19,-2.0747884001134605e-18,3.401466169784613e-18,4.071779110482313e-18,0.0,0.026525823848649224,8.796761917020945e-07,0.003316301113666976,0.011851310729980469
sphere,162,Rh_calibrated,0.9497,1.0,0.13100877695,1.0,"[1.0, 0.0, 0.0, 0.0]",1.0,0.0,0.0,1.0,1.1718392920936476e-19,-1.7612282055803533e-20,0.05305340704968185,0.05305340704968185,1.6788878641833757e-18,-4.149576800226921e-18,6.802932339569226e-18,8.143558220964626e-18,0.0,0.05305164769729845,1.759352383404189e-06,0.003316301113666976,0.011339426040649414
sphere,162,Rh_calibrated,0.9497,1.0,0.13100877695,1.0,"[1.0, 0.0, 0.0, 0.0]",2.0,0.0,0.0,2.0,2.343678584187295e-19,-3.5224564111607066e-20,0.1061068140993637,0.1061068140993637,3.3577757283667514e-18,-8.299153600453842e-18,1.3605864679138451e-17,1.628711644192925e-17,0.0,0.1061032953945969,3.518704766808378e-06,0.003316301113666976,0.011779308319091797
sphere,162,Rh_calibrated,0.9497,1.0,0.13100877695,1.0,"[1.0, 0.0, 0.0, 0.0]",5.0,0.0,0.0,5.0,5.859196460468237e-19,-8.806141027901766e-20,0.2652670352484093,0.2652670352484093,8.394439320916878e-18,-2.0747884001134606e-17,3.401466169784613e-17,4.0717791104823126e-17,0.0,0.2652582384864922,8.796761917062579e-06,0.003316301113682672,0.011304140090942383
sphere,162,Rh_calibrated,0.9497,1.0,0.13100877695,1.0,"[1.0, 0.0, 0.0, 0.0]",10.0,0.0,0.0,10.0,1.1718392920936475e-18,-1.7612282055803533e-19,0.5305340704968186,0.5305340704968186,1.6788878641833755e-17,-4.149576800226921e-17,6.802932339569226e-17,8.143558220964625e-17,0.0,0.5305164769729844,1.7593523834125158e-05,0.003316301113682672,0.011279582977294922
