step,time,x,y,z,Ux,Uy,Uz,U_mag,Omega_x,Omega_y,Omega_z,Omega_mag,q0,q1,q2,q3,normal_x,normal_y,normal_z,tilt_angle_deg
0,0.0,0.0,0.0,3.5,0.011359514901434819,-2.115248584886894e-18,-0.058525390989691534,0.05961761458908086,-1.148993726091738e-18,-0.0017218869446998005,8.222693155967687e-20,0.0017218869446998005,0.9238795325112867,0.0,0.3826834323650898,0.0,0.7071067811865476,0.0,0.7071067811865475,45.00000000000001
1,0.1,0.001135943470655567,-5.726322276056152e-19,3.4941489665211307,0.011359353975524481,2.176922866222533e-17,-0.05849525925740444,0.05958800448355544,1.046251497006415e-18,-0.0017273118018937153,2.3359573184867087e-19,0.0017273118018937153,0.9239125278110937,-3.54755202483618e-20,0.3826037649497391,7.358442164812692e-21,0.70698482324951,7.118329052899967e-20,0.7072287180925698,44.990118787152504
2,0.2,0.0022718707349994437,-1.1871790133027024e-18,3.488300950157292,0.011359190769796827,3.0071976804898827e-18,-0.05846504863602488,0.05955831702589817,-1.7958167198350032e-18,-0.0017327586814979798,8.74253181466237e-19,0.0017327586814979798,0.9239456202083802,-1.9613273805996731e-19,0.38252384356762853,-3.964543619321552e-20,0.706862459779172,3.3210131935488063e-19,0.7073510182044969,44.98020642912907
3,0.30000000000000004,0.0034077815641212475,3.306874872700499e-19,3.4824559588094797,0.011359025265633687,-1.5870214050978022e-17,-0.058434758883748945,0.05952855197959363,-1.1968545533985134e-19,-0.0017382276830730909,-1.5727928023051173e-19,0.0017382276830730909,0.9239788100598009,-2.74618066468082e-19,0.382443667172663,-6.698677458215825e-20,0.7067396890182074,4.562452131056651e-19,0.7074736828790511,44.97026279946546
4,0.4,0.004543675727241526,4.83932260304712e-19,3.476614000402899,0.011358857444271144,1.9782979013499012e-17,-0.05840438975817803,0.059498709107546566,-1.1968218200537993e-18,-0.0017437189065979397,4.2707863302363324e-20,0.0017437189065979397,0.9240120977233522,-2.9633681557843883e-19,0.38236323471391714,-7.269850724320656e-20,0.7066165092005862,4.920431324138117e-19,0.7075967134782197,44.960287771125955
5,0.5,0.0056795529916970795,-2.245994281891946e-18,3.470775082887026,0.011358687286798121,4.7774765469859e-18,-0.05837394101631917,0.059468788172082156,6.559810384465474e-19,-0.001749232452470542,4.860105965651906e-19,0.001749232452470542,0.9240454835583779,-3.5337809832583004e-19,0.38228254513561527,-1.0123934556989431e-19,0.7064929185515341,5.756708021082167e-19,0.7077201113692728,44.95028121650063
6,0.6000000000000001,0.006815413122926218,-2.534843145013746e-18,3.4649392142356645,0.011358514774155393,4.1077202609728355e-18,-0.05834341241458763,0.05943878893494857,-2.419833681443066e-18,-0.0017547684215086861,6.791811763978041e-19,0.0017547684215086861,0.9240789679255699,-4.486019518391616e-19,0.3822015973771089,-1.7703188971957272e-19,0.706368915287486,6.937635152548396e-19,0.7078438779247729,44.940243007403254
7,0.7000000000000001,0.007951255884453886,7.831269320436648e-19,3.459106402447007,0.011358339887134465,-4.615588283840869e-18,-0.05831280370880817,0.05940871115731818,-2.5012019699165637e-18,-0.0017603269149506346,8.912338572030919e-20,0.0017603269149506346,0.924112551186973,-3.285349543116959e-19,0.38212039037285644,-1.7750363068673016e-19,0.7062444976160448,4.715510362649284e-19,0.7079680145225915,44.930173015068696
8,0.8,0.00908708103787666,1.0442106501145485e-18,3.4532766555436933,0.011358162606376334,-6.370951626916046e-18,-0.05828211465421674,0.05937855459978923,3.1263206816767693e-19,-0.0017659080344556576,2.164379135963386e-18,0.0017659080344556576,0.9241462337059873,-4.1490799635302145e-19,0.38203892305240145,-2.260851413334847e-19,0.7061196637359365,5.941246765018956e-19,0.7080925225459225,44.92007111015053
9,0.9,0.010222888342847675,1.8779369289077145e-18,3.447449981572868,0.01135798291237044,1.583665618919921e-17,-0.05825134500546243,0.059348319022387755,-4.437853594891451e-18,-0.0017715118821047592,8.92705472243805e-19,0.0017715118821047592,0.9241800158473711,-4.567706535477756e-19,0.3819571943403514,-2.995763788449133e-19,0.7059944118369668,6.154259133603041e-19,0.7082174033832942,44.909937162718705
