dt,step,time,x,y,z,Uz,U_mag,Omega_mag
0.2,0,0.0,0.0,0.0,0.0,-0.04188212064399395,0.04188218307311585,3.097385740278664e-05
0.2,1,0.2,-4.602642603484459e-06,1.3710906541018284e-05,-0.00837642412879879,-0.04188212081072405,0.04188218323868264,3.097361509056528e-05
0.2,2,0.4,-9.205529628488063e-06,2.742158891710621e-05,-0.0167528482909436,-0.04188212097744059,0.041882183404235954,3.0973372780374945e-05
0.2,3,0.6000000000000001,-1.38086610725887e-05,4.1132047131245065e-05,-0.025129272486431715,-0.04188212114414357,0.04188218356977579,3.097313047221565e-05
0.2,4,0.8,-1.8412036933364274e-05,5.484228118641616e-05,-0.03350569671526043,-0.041882121310832944,0.0418821837353021,3.0972888166087355e-05
0.2,5,1.0,-2.30156572083927e-05,6.855229108560078e-05,-0.041882120977427016,-0.04188212147750877,0.041882183900814954,3.097264586199014e-05
0.2,6,1.2000000000000002,-2.761952189525191e-05,8.226207683178026e-05,-0.05025854527292877,-0.04188212164417101,0.0418821840663143,3.097240355992397e-05
0.2,7,1.4000000000000001,-3.222363099151985e-05,9.59716384279359e-05,-0.058634969601762975,-0.04188212181081966,0.04188218423180014,3.097216125988887e-05
0.2,8,1.6,-3.6827984494774486e-05,0.00010968097587704906,-0.06701139396392691,-0.04188212197745477,0.041882184397272516,3.097191896188488e-05
0.2,9,1.8,-4.143258240259378e-05,0.00012339008918210104,-0.07538781835941787,-0.04188212214407629,0.04188218456273139,3.097167666591198e-05
0.2,10,2.0,-4.603742471255573e-05,0.00013709897834607323,-0.08376424278823312,-0.041882122310684236,0.04188218472817678,3.097143437197018e-05
0.2,11,2.2,-5.064251142223834e-05,0.00015080764337194695,-0.09214066725036997,-0.041882122477278586,0.04188218489360865,3.0971192080059505e-05
0.2,12,2.4000000000000004,-5.5247842529219624e-05,0.00016451608426270355,-0.10051709174582568,-0.04188212264385938,0.04188218505902705,3.097094979017998e-05
0.2,13,2.6,-5.985341803107762e-05,0.00017822430102132442,-0.10889351627459756,-0.04188212281042661,0.04188218522443197,3.097070750233159e-05
0.2,14,2.8000000000000003,-6.445923792539037e-05,0.00019193229365079096,-0.11726994083668288,-0.04188212297698026,0.04188218538982339,3.0970465216514397e-05
0.2,15,3.0,-6.906530220973593e-05,0.00020564006215408452,-0.12564636543207894,-0.04188212314352034,0.04188218555520133,3.097022293272835e-05
0.2,16,3.2,-7.367161088169239e-05,0.0002193476065341865,-0.134022790060783,-0.04188212331004686,0.04188218572056579,3.0969980650973526e-05
0.2,17,3.4000000000000004,-7.827816393883783e-05,0.00023305492679407834,-0.14239921472279238,-0.04188212347655979,0.041882185885916745,3.096973837124987e-05
0.2,18,3.6,-8.288496137875036e-05,0.0002467620229367414,-0.15077563941810435,-0.041882123643059176,0.04188218605125424,3.096949609355745e-05
0.2,19,3.8000000000000003,-8.74920031990081e-05,0.00026046889496515713,-0.15915206414671618,-0.041882123809545015,0.041882186216578264,3.096925381789628e-05
0.2,20,4.0,-9.209928939718918e-05,0.00027417554288230696,-0.16752848890862518,-0.04188212397601723,0.04188218638188876,3.096901154426632e-05
0.2,21,4.2,-9.670681997087175e-05,0.0002878819666911723,-0.17590491370382863,-0.04188212414247591,0.04188218654718579,3.0968769272667626e-05
0.2,22,4.4,-0.00010131459491763398,0.00030158816639473457,-0.1842813385323238,-0.04188212430892104,0.04188218671246936,3.096852700310022e-05
0.2,23,4.6000000000000005,-0.00010592261423505405,0.0003152941419959753,-0.19265776339410803,-0.04188212447535257,0.04188218687773941,3.0968284735564064e-05
0.2,24,4.800000000000001,-0.00011053087792071013,0.00032899989349787585,-0.20103418828917854,-0.041882124641770546,0.041882187042996,3.0968042470059213e-05
0.2,25,5.0,-0.00011513938597218044,0.00034270542090341776,-0.20941061321753265,-0.04188212480817496,0.0418821872082391,3.096780020658568e-05
0.1,0,0.0,0.0,0.0,0.0,-0.04188212064399395,0.04188218307311585,3.097385740278664e-05
0.1,1,0.1,-2.3013213017422295e-06,6.855453270509142e-06,-0.004188212064399395,-0.04188212072736059,0.04188218315590083,3.097373624675194e-05
0.1,2,0.2,-4.60270370877807e-06,1.3710850499732264e-05,-0.008376424137135454,-0.04188212081072385,0.04188218323868244,3.097361509122501e-05
0.1,3,0.30000000000000004,-6.9041472208047595e-06,2.0566191688042026e-05,-0.01256463621820784,-0.04188212089408375,0.04188218332146072,3.0973493936205843e-05
0.1,4,0.4,-9.205651837519539e-06,2.7421476835811098e-05,-0.016752848307616214,-0.041882120977440235,0.0418821834042356,3.097337278169441e-05
0.1,5,0.5,-1.1507217558619649e-05,3.427670594341214e-05,-0.02094106040536024,-0.041882121060793344,0.041882183487007126,3.097325162769076e-05
0.1,6,0.6000000000000001,-1.3808844383802329e-05,4.1131879011217814e-05,-0.025129272511439572,-0.04188212114414303,0.04188218356977526,3.097313047419483e-05
0.1,7,0.7000000000000001,-1.6110532312764817e-05,4.798699603960077e-05,-0.029317484625853877,-0.04188212122748931,0.04188218365254,3.0973009321206665e-05
0.1,8,0.8,-1.8412281345204362e-05,5.484205702893369e-05,-0.033505696748602806,-0.04188212131083223,0.04188218373530139,3.097288816872627e-05
0.1,9,0.9,-2.0714091480818203e-05,6.169706197958922e-05,-0.03769390887968603,-0.04188212139417172,0.04188218381805938,3.097276701675362e-05
0.1,10,1.0,-2.3015962719303585e-05,6.855201089194002e-05,-0.0418821210191032,-0.04188212147750783,0.041882183900814024,3.0972645865288735e-05
0.1,11,1.1,-2.5317895060357755e-05,7.540690376635878e-05,-0.04607033316685398,-0.04188212156084054,0.041882183983565274,3.09725247143316e-05
0.1,12,1.2000000000000002,-2.7619888503677957e-05,8.226174060321813e-05,-0.05025854532293803,-0.041882121644169844,0.04188218406631314,3.097240356388223e-05
0.1,13,1.3,-2.992194304896144e-05,8.911652140289077e-05,-0.054446757487355016,-0.04188212172749576,0.04188218414905764,3.097228241394063e-05
0.1,14,1.4000000000000001,-3.2224058695905444e-05,9.597124616574934e-05,-0.05863496966010459,-0.041882121810818296,0.04188218423179878,3.0972161264506815e-05
0.1,15,1.5,-3.452623544420723e-05,0.00010282591489216652,-0.06282318184118642,-0.04188212189413747,0.04188218431453658,3.097204011558078e-05
0.1,16,1.6,-3.682847329356404e-05,0.00010968052758251498,-0.06701139403060016,-0.041882121977453224,0.04188218439727098,3.097191896716251e-05
0.1,17,1.7000000000000002,-3.9130772243673135e-05,0.00011653508423716738,-0.07119960622834548,-0.041882122060765595,0.04188218448000202,3.097179781925202e-05
0.1,18,1.8,-4.143313229423176e-05,0.00012338958485649638,-0.07538781843442204,-0.041882122144074586,0.041882184562729706,3.097167667184931e-05
0.1,19,1.9000000000000001,-4.3735553444937164e-05,0.0001302440294408747,-0.0795760306488295,-0.04188212222738018,0.041882184645454006,3.097155552495438e-05
0.1,20,2.0,-4.603803569548661e-05,0.00013709841799067494,-0.08376424287156752,-0.04188212231068235,0.041882184728174905,3.09714343785672e-05
0.1,21,2.1,-4.8340579045577344e-05,0.0001439527505062698,-0.08795245510263575,-0.04188212239398115,0.04188218481089246,3.097131323268782e-05
0.1,22,2.2,-5.064318349490662e-05,0.00015080702698803193,-0.09214066734203386,-0.041882122477276525,0.04188218489360661,3.097119208731619e-05
0.1,23,2.3000000000000003,-5.29458490431717e-05,0.00015766124743633403,-0.09632887958976151,-0.04188212256056852,0.041882184976317405,3.097107094245237e-05
0.1,24,2.4000000000000004,-5.5248575690069844e-05,0.00016451541185154878,-0.10051709184581836,-0.04188212264385713,0.041882185059024815,3.097094979809633e-05
0.1,25,2.5,-5.75513634352983e-05,0.0001713695202340488,-0.10470530411020408,-0.04188212272714231,0.04188218514172884,3.097082865424805e-05
0.1,26,2.6,-5.9854212278554326e-05,0.0001782235725842068,-0.10889351638291832,-0.0418821228104241,0.04188218522442948,3.097070751090755e-05
0.1,27,2.7,-6.215712221953519e-05,0.00018507756890239545,-0.11308172866396073,-0.04188212289370253,0.04188218530712679,3.0970586368074874e-05
0.1,28,2.8000000000000003,-6.446009325793815e-05,0.00019193150918898742,-0.11726994095333097,-0.04188212297697758,0.04188218538982074,3.097046522575e-05
0.1,29,2.9000000000000004,-6.676312539346046e-05,0.00019878539344435537,-0.12145815325102872,-0.041882123060249216,0.04188218547251129,3.09703440839329e-05
0.1,30,3.0,-6.90662186257994e-05,0.00020563922166887198,-0.12564636555705364,-0.04188212314351746,0.04188218555519848,3.09702229426236e-05
0.1,31,3.1,-7.136937295465222e-05,0.00021249299386290994,-0.12983457787140537,-0.0418821232267823,0.04188218563788228,3.097010180182209e-05
0.1,32,3.2,-7.367258837971619e-05,0.0002193467100268419,-0.1340227901940836,-0.04188212331004378,0.04188218572056274,3.096998066152838e-05
0.1,33,3.3000000000000003,-7.597586490068857e-05,0.00022620037016104057,-0.138211002525088,-0.04188212339330183,0.04188218580323979,3.0969859521742464e-05
0.1,34,3.4000000000000004,-7.827920251726663e-05,0.00023305397426587858,-0.14239921486441817,-0.04188212347655649,0.04188218588591347,3.0969738382464344e-05
0.1,35,3.5,-8.058260122914764e-05,0.00023990752234172863,-0.14658742721207382,-0.04188212355980775,0.04188218596858378,3.096961724369402e-05
0.1,36,3.6,-8.288606103602886e-05,0.0002467610143889634,-0.1507756395680546,-0.04188212364305563,0.04188218605125072,3.096949610543151e-05
0.1,37,3.7,-8.518958193760756e-05,0.00025361445040795555,-0.15496385193236015,-0.0418821237263001,0.04188218613391427,3.096937496767679e-05
0.1,38,3.8000000000000003,-8.749316393358101e-05,0.0002604678303990778,-0.15915206430499015,-0.041882123809541184,0.04188218621657447,3.096925383042988e-05
0.1,39,3.9000000000000004,-8.979680702364648e-05,0.0002673211543627028,-0.16334027668594428,-0.04188212389277889,0.0418821862992313,3.09691326936908e-05
0.1,40,4.0,-9.210051120750125e-05,0.0002741744222992032,-0.16752848907522216,-0.04188212397601323,0.04188218638188479,3.096901155745954e-05
0.1,41,4.1000000000000005,-9.440427648484257e-05,0.00028102763420895173,-0.17171670147282347,-0.04188212405924419,0.04188218646453492,3.09688904217361e-05
0.1,42,4.2,-9.670810285536775e-05,0.00028788079009232106,-0.1759049138787479,-0.04188212414247172,0.041882186547181635,3.096876928652045e-05
0.1,43,4.3,-9.901199031877404e-05,0.00029473388994968386,-0.18009312629299506,-0.04188212422569587,0.041882186629825,3.096864815181263e-05
0.1,44,4.4,-0.00010131593887475871,0.0003015869337814128,-0.18428133871556465,-0.04188212430891663,0.041882186712464985,3.0968527017612614e-05
0.1,45,4.5,-0.00010361994852301907,0.0003084399215878806,-0.1884695511464563,-0.041882124392134,0.041882186795101604,3.0968405883920426e-05
0.1,46,4.6000000000000005,-0.00010592401926325235,0.0003152928533694599,-0.19265776358566972,-0.04188212447534797,0.04188218687773485,3.0968284750736064e-05
0.1,47,4.7,-0.00010822815109515587,0.0003221457291265234,-0.1968459760332045,-0.041882124558558546,0.04188218696036472,3.09681636180595e-05
0.1,48,4.800000000000001,-0.00011053234401842688,0.0003289985488594438,-0.20103418848906035,-0.04188212464176571,0.0418821870429912,3.0968042485890754e-05
0.1,49,4.9,-0.00011283659803276268,0.0003358513125685937,-0.20522240095323693,-0.041882124724969494,0.04188218712561432,3.0967921354229846e-05
0.1,50,5.0,-0.00011514091313786053,0.0003427040202543459,-0.2094106134257339,-0.04188212480816988,0.04188218720823406,3.096780022307675e-05
0.05,0,0.0,0.0,0.0,0.0,-0.04188212064399395,0.04188218307311585,3.097385740278664e-05
0.05,1,0.05,-1.1506606508711148e-06,3.427726635254571e-06,-0.0020941060321996974,-0.0418821206856777,0.04188218311450877,3.09737968247883e-05
0.05,2,0.1,-2.301336578054861e-06,6.855439260180961e-06,-0.004188212066483583,-0.04188212072736058,0.04188218315590082,3.09737362469169e-05
0.05,3,0.15000000000000002,-3.452027781513393e-06,1.0283137874825751e-05,-0.006282318102851612,-0.041882120769042616,0.04188218319729203,3.0973675669172437e-05
0.05,4,0.2,-4.602734261208866e-06,1.3710822479235523e-05,-0.008376424141303743,-0.04188212081072382,0.04188218323868242,3.0973615091554916e-05
0.05,5,0.25,-5.7534560171034355e-06,1.713849307345686e-05,-0.010470530181839934,-0.041882120852404184,0.04188218328007196,3.0973554514064335e-05
0.05,6,0.30000000000000004,-6.904193049159256e-06,2.056614965753635e-05,-0.012564636224460144,-0.04188212089408368,0.041882183321460646,3.097349393670068e-05
0.05,7,0.35000000000000003,-8.054945357338484e-06,2.3993792231520568e-05,-0.014658742269164329,-0.04188212093576234,0.041882183362848505,3.097343335946398e-05
0.05,8,0.4,-9.205712941603273e-06,2.74214207954561e-05,-0.016752848315952446,-0.041882120977440145,0.04188218340423551,3.09733727823542e-05
0.05,9,0.45,-1.035649580191578e-05,3.084903534938953e-05,-0.018846954364824454,-0.041882121019117084,0.04188218344562166,3.097331220537137e-05
0.05,10,0.5,-1.1507293938238157e-05,3.427663589336744e-05,-0.02094106041578031,-0.04188212106079319,0.04188218348700698,3.0973251628515465e-05
0.05,11,0.55,-1.2658107350532562e-05,3.770422242743641e-05,-0.02303516646881997,-0.041882121102468445,0.041882183528391445,3.097319105178651e-05
0.05,12,0.6000000000000001,-1.380893603876115e-05,4.113179495164303e-05,-0.025129272523943393,-0.04188212114414285,0.04188218356977508,3.097313047518449e-05
0.05,13,0.65,-1.4959780002886076e-05,4.455935346603387e-05,-0.027223378581150537,-0.041882121185816405,0.04188218361115786,3.09730698987094e-05
0.05,14,0.7000000000000001,-1.6110639242869494e-05,4.798689797065553e-05,-0.029317484640441357,-0.04188212122748912,0.0418821836525398,3.097300932236127e-05
0.05,15,0.75,-1.7261513758673563e-05,5.141442846555457e-05,-0.03141159070181582,-0.04188212126916096,0.04188218369392088,3.097294874614005e-05
0.05,16,0.8,-1.8412403550260438e-05,5.484194495077759e-05,-0.03350569676527387,-0.04188212131083197,0.041882183735301136,3.097288817004579e-05
0.05,17,0.8500000000000001,-1.9563308617592272e-05,5.826944742637117e-05,-0.035599802830815465,-0.04188212135250214,0.04188218377668056,3.0972827594078473e-05
0.05,18,0.9,-2.071422896063122e-05,6.169693589238189e-05,-0.03769390889844057,-0.04188212139417144,0.04188218381805911,3.0972767018238075e-05
0.05,19,0.9500000000000001,-2.1865164579339443e-05,6.512441034885633e-05,-0.03978801496814914,-0.04188212143583989,0.041882183859436824,3.097270644252464e-05
0.05,20,1.0,-2.3016115473679092e-05,6.855187079584109e-05,-0.041882121039941135,-0.041882121477507514,0.04188218390081371,3.097264586693813e-05
0.05,21,1.05,-2.4167081643612326e-05,7.197931723338273e-05,-0.04397622711381651,-0.041882121519174295,0.04188218394218975,3.0972585291478573e-05
0.05,22,1.1,-2.53180630891013e-05,7.540674966152786e-05,-0.04607033318977523,-0.041882121560840195,0.041882183983564934,3.097252471614594e-05
0.05,23,1.1500000000000001,-2.646905981010817e-05,7.883416808032303e-05,-0.04816443926781724,-0.041882121602505255,0.04188218402493927,3.0972464140940255e-05
