tilt_angle_deg,Ux_sim,Uz_sim,drift_angle_sim,Ux_theory,Uz_theory,drift_angle_theory,Omega_mag
0.0,0.0,-0.06223404044364179,0.0,0.0,-0.0625,0.0,1.809055258004915e-07
5.0,0.0024329299531365583,-0.06244689423369391,2.2311142117168834,0.002713252776045787,-0.06273737885918425,2.476372505958201,1.8038696077001761e-07
10.0,0.004791936560769051,-0.0630789881491487,4.344258055549876,0.005344064739463576,-0.06344230280022017,4.814945374942807,1.7883815955323348e-07
15.0,0.00700534260083948,-0.06411111633624009,6.235899501161602,0.007812500000000002,-0.06459335306586814,6.896367932228825,1.7627991753136087e-07
20.0,0.009005894850857784,-0.0655119181022853,7.82736503458849,0.01004355640135218,-0.06615555557626597,8.632569545782442,1.7274728737680598e-07
25.0,0.010732807543035421,-0.067238830794463,9.069167524541012,0.011969444423734033,-0.06808144359864782,9.971307235213485,1.6829022201013088e-07
30.0,0.012133609309080674,-0.06923938304448125,9.939667483274969,0.013531646934131857,-0.0703125,10.893394649130908,1.629745843508613e-07
35.0,0.013165737496172038,-0.07145278908455167,10.440097944545954,0.014682697199779826,-0.07278093526053642,11.405663225882266,1.568836441795749e-07
40.0,0.013797831411626847,-0.07381179569218412,10.58824692565438,0.015387621140815756,-0.07541174722395422,11.532774287556762,1.501202285997386e-07
45.0,0.01401068520167898,-0.07624472564532077,10.41247414331491,0.015625000000000007,-0.078125,11.309932474020217,1.4280973713448484e-07
50.0,0.013797831411626802,-0.07867765559845727,9.946906227581005,0.015387621140815752,-0.08083825277604578,10.77736151061021,1.3510425236408206e-07
55.0,0.013165737496172034,-0.08103666220608977,9.228012496752864,0.014682697199779826,-0.08346906473946357,9.976597160761095,1.271879091289915e-07
60.0,0.012133609309080659,-0.08325006824616024,8.292410297573893,0.013531646934131857,-0.0859375,8.948275564627085,1.1928338902219404e-07
65.0,0.010732807543035442,-0.08525062049617856,7.175621113591302,0.011969444423734033,-0.08816855640135218,7.731005429551946,1.1165860115635307e-07
70.0,0.009005894850857768,-0.08697753318835613,5.911497940450887,0.010043556401352183,-0.09009444442373403,6.36096071645427,1.0463085940043948e-07
75.0,0.007005342600839468,-0.0883783349544014,4.5320960575752,0.007812500000000002,-0.09165664693413185,4.871920999791824,9.856283635929391e-08
80.0,0.004791936560769072,-0.08941046314149284,3.0678211802643593,0.005344064739463578,-0.09280769719977983,3.295573769744495,9.38411142498408e-08
85.0,0.0024329299531365783,-0.0900425570569476,1.54774269577791,0.002713252776045787,-0.09351262114081575,1.661961009359259,9.082833489022871e-08
90.0,6.221969343939449e-18,-0.09025541084699965,3.949819521311979e-15,1.9135106236677398e-18,-0.09375,1.169451549755813e-15,8.97910506344417e-08
