N,a_blob,U_single,err_single_pct,U_40R,U_80R,U_160R,delta_U_40,delta_U_80,delta_U_160,Oseen_pred_40,err_vs_single_theory_pct,err_vs_two_disc_theory_pct
12,0.31241116364931626,0.05801130944819996,7.181904882880064,0.05900620113314103,0.0585086902887973,0.05825999175164641,0.0009948916849410669,0.0004973808405973404,0.0002486823034464486,0.0009947183943243459,5.590078186974356,7.069119093194584
42,0.16699079116844384,0.060176035725229345,3.7183428396330487,0.06117096204014409,0.06067342089699048,0.06042471857014714,0.0009949263149147472,0.0004973851717611361,0.0002486828449177955,0.0009947183943243459,2.126460735769453,3.6597632258937094
162,0.08502754898777301,0.06131891425842794,1.8897371865152945,0.06231385460945579,0.06181630118376848,0.06156759732251408,0.0009949403510278523,0.0004973869253405358,0.0002486830640861387,0.0009947183943243459,0.2978326248707308,1.8597826948927838
642,0.04271197498321433,0.06194907607410742,0.8814782814281275,0.06294400730994341,0.06244646186145446,0.06219775899598856,0.000994931235835994,0.0004973857873470378,0.00024868292188114094,0.0009947183943243459,0.7104116959094631,0.8673336905926889
2562,0.021380979878733348,0.06223404044364179,0.4255352901731402,0.06322896824253042,0.0627314258017558,0.0624827233118809,0.0009949277988886354,0.0004973853581140067,0.0002486828682391126,0.0009947183943243459,1.1663491880486765,0.41853898798876266
