N,N_lateral,N_cap_top,N_cap_bottom,total_blobs_check,R_nominal,L_nominal,max_radial_coord,min_z_coord,max_z_coord,actual_length_span,COM_x,COM_y,COM_z,COM_norm,Rg_discrete,Rg_continuum_theory,Rg_error_pct,Ixx,Iyy,Izz,Ixx_over_Iyy,Ixy_over_Ixx,Ixz_over_Ixx,Iyz_over_Ixx,a_blob,h_char,a_over_h,surface_density_sigma
12,8,2,2,1,1.0,2.0,1.0149623063997872,-1.0,1.0,2.0,-2.7755575615628914e-17,-1.850371707708594e-17,0.0,3.335805035405601e-17,1.1769342069823534,1.1785113019775793,0.1338209478839475,11.424337450509961,11.822752080272211,9.997089530782173,0.9663010247481163,0.08500941030226417,0.10262053346376374,-0.054810610003036456,0.6266570686577501,1.2533141373155001,0.5,0.6366197723675814
42,28,7,7,1,1.0,2.0,1.020778347509964,-1.0,1.0,2.0,-1.982541115402065e-18,-1.057355261547768e-17,-4.229421046191072e-17,4.3640929444535585e-17,1.178205717577994,1.1785113019775793,0.025929696140579037,40.797679752904074,40.826834761730495,34.98165737177742,0.9992858861335547,0.034328230531556064,0.007122903555811812,-0.037650023487279194,0.3349622928453394,0.6699245856906788,0.5,2.228169203286535
162,108,27,27,1,1.0,2.0,1.0047167177279335,-1.0,1.0,2.0,-5.482582837655094e-18,3.769275700887877e-18,-2.1930331350620375e-17,2.291736431243909e-17,1.1784937776542297,1.1785113019775793,0.0014869881451415835,156.2603357095693,158.72988647377505,134.9963950228505,0.9844418034998483,0.003769954372263969,-0.0033121734282611256,0.00894976194717791,0.17055445132441474,0.3411089026488295,0.5,8.594366926962348
642,428,107,107,1,1.0,2.0,1.0016683734908887,-1.0,1.0,2.0,-2.490219868318108e-17,1.0375916117992116e-18,-4.4270575436766365e-17,5.08043299838894e-17,1.1785096063549272,1.1785113019775793,0.00014387835307302446,623.5223345746518,624.8076541136983,534.9982129874156,0.9979428556443187,-0.0008207057116640996,0.0014702914404576203,-0.0006919531808862577,0.08567479064099323,0.17134958128198646,0.5,34.0591578216656
2562,1708,427,427,1,1.0,2.0,1.0003974437895247,-1.0,1.0,2.0,1.7734534458541973e-17,-1.4950310050572952e-17,4.4374253599381745e-17,5.007094831907739e-17,1.1785112026417601,1.1785113019775793,8.428923758238322e-06,2491.0692466021724,2490.5966250460806,2134.9995953016487,1.0001897623851808,0.00010354048185565866,0.00022051711130301988,0.0004909191824254897,0.04288752687108626,0.08577505374217252,0.5,135.91832140047862
