step,time,x,y,z,Ux,Uy,Uz,U_mag,Omega_x,Omega_y,Omega_z,Omega_mag,q0,q1,q2,q3,normal_x,normal_y,normal_z,tilt_angle_deg
17,1.7000000000000002,0.019367529926335055,-3.4190530928960017e-18,9.872312749264415,0.01139266466255001,1.0744028161170097e-17,-0.07511014784894013,0.07596925113493591,5.189603202998451e-19,1.845460646996432e-08,1.2645416361169651e-18,1.845460646996432e-08,0.9238795265083551,-1.7453346822173542e-19,0.38268344685744854,2.9886086426463195e-19,0.7071068033704897,5.512340072962868e-19,0.707106759002605,45.00000179753086
18,1.8,0.020506796392590055,-4.2443010437160715e-18,9.86480173447742,0.011392664662550008,-8.216306434078925e-18,-0.07511014789098953,0.07596925117650981,-3.6563342774529007e-19,1.8454606433862944e-08,-1.128899160265115e-18,1.8454606433862944e-08,0.9238795261552415,-4.1061057108560493e-19,0.38268344770994017,2.1189510029257733e-19,0.7071068046754273,9.208868947634177e-19,0.7071067576976671,45.00000190326798
19,1.9000000000000001,0.021646062858845055,-6.237076368488273e-18,9.857290719686217,0.011392664662550013,-1.9861732795340137e-17,-0.075110147933039,0.07596925121808375,-2.642400133076358e-18,1.8454606395055408e-08,-9.347147644154447e-19,1.8454606395055408e-08,0.9238795258021278,-3.7787521039303357e-19,0.3826834485624318,2.2512323691730457e-19,0.7071068059803649,8.705242136906931e-19,0.7071067563927291,45.0000020090051
20,2.0,0.022785329325100058,-5.162992955737072e-18,9.84977970489081,0.011392664662550027,1.0750582943128154e-17,-0.07511014797508846,0.07596925125965769,5.71460511387497e-19,1.8454606371124993e-08,7.336007122811131e-19,1.8454606371124993e-08,0.9238795254490142,-2.518979662084415e-19,0.38268344941492344,3.039200433313798e-19,0.7071068072853026,6.980570880212244e-19,0.7071067550877914,45.0000021147422
21,2.1,0.023924595791355058,-5.081586640055988e-18,9.842268690091199,0.01139266466254999,8.180190112302087e-18,-0.07511014801713785,0.07596925130123156,3.2907055659510433e-18,1.8454606327837927e-08,1.0137962355497637e-18,1.8454606327837927e-08,0.9238795250959007,-3.3835545153114947e-19,0.3826834502674151,1.1428748918962667e-19,0.7071068085902404,7.126712091193873e-19,0.7071067537828539,45.00000222047928
22,2.2,0.02506386225761006,-4.005566785584664e-18,9.834757675287383,0.011392664662550003,1.0773621645426188e-17,-0.07511014805918728,0.07596925134280547,5.872338930116323e-18,1.845460629979507e-08,1.865491381342531e-19,1.845460629979507e-08,0.923879524742787,-3.3557110031494285e-19,0.38268345111990676,1.1589174292467542e-19,0.707106809895178,7.087542416301986e-19,0.707106752477916,45.000002326216396
23,2.3000000000000003,0.02620312872386506,-4.828527833341361e-18,9.827246660479362,0.011392664662550003,-8.167531231483367e-18,-0.07511014810123672,0.07596925138437938,-6.169841983114703e-19,1.84546062544375e-08,3.9032440889196742e-19,1.84546062544375e-08,0.9238795243896734,-3.366100061242261e-19,0.3826834519723984,1.2332879117234965e-19,0.7071068112001156,7.163659597925458e-19,0.707106751172978,45.00000243195352
24,2.4000000000000004,0.027342395190120064,-5.906910345988895e-18,9.819735645667137,0.011392664662549972,8.239773359516023e-18,-0.07511014814328609,0.07596925142595325,-4.0985598782925945e-18,1.8454606227522475e-08,1.314759663581833e-18,1.8454606227522475e-08,0.9238795240365598,-1.2335829968247733e-19,0.3826834528248901,2.6368816221104033e-19,0.7071068125050535,4.2975460716115417e-19,0.7071067498680406,45.0000025376906
25,2.5,0.028481661656375064,-7.717454232316757e-18,9.812224630850706,0.011392664662549984,-2.7242986758383128e-17,-0.07511014818533551,0.07596925146752714,-9.049461731808043e-19,1.8454606190019268e-08,9.140768847071381e-19,1.8454606190019268e-08,0.9238795236834462,-3.32213382742736e-20,0.3826834536773817,2.0487847894589087e-19,0.7071068138099911,2.1819223617628957e-19,0.7071067485631028,45.0000026434277
26,2.6,0.029620928122630064,-6.640752187417201e-18,9.80471361603007,0.01139266466255001,1.98784321313913e-17,-0.07511014822738497,0.07596925150910108,5.149945703947645e-19,1.8454606163456976e-08,5.0503021007472544e-20,1.8454606163456976e-08,0.9238795233303325,2.9875864686343e-20,0.38268345452987335,2.3511583096812577e-19,0.7071068151149287,1.2474647756808814e-19,0.7071067472581649,45.000002749164814
