step,time,x,y,z,Ux,Uy,Uz,U_mag,Omega_mag,q0,q1,q2,q3
30,30.00,0.075266,0.000000,-1.173236,2.50886450e-03,-2.84649066e-21,-3.91078590e-02,3.91882512e-02,5.68727571e-19,0.923880,-0.000000,0.382683,0.000000
31,31.00,0.077775,0.000000,-1.212344,2.50886450e-03,1.42324533e-21,-3.91078590e-02,3.91882512e-02,3.71776413e-19,0.923880,-0.000000,0.382683,0.000000
32,32.00,0.080284,0.000000,-1.251451,2.50886450e-03,1.42324533e-21,-3.91078590e-02,3.91882512e-02,3.71776413e-19,0.923880,-0.000000,0.382683,0.000000
33,33.00,0.082793,0.000000,-1.290559,2.50886450e-03,-2.53021392e-21,-3.91078590e-02,3.91882512e-02,1.58294389e-19,0.923880,-0.000000,0.382683,0.000000
34,34.00,0.085301,0.000000,-1.329667,2.50886450e-03,1.42324533e-21,-3.91078590e-02,3.91882512e-02,3.71776413e-19,0.923880,-0.000000,0.382683,0.000000
35,35.00,0.087810,0.000000,-1.368775,2.50886450e-03,1.89766044e-21,-3.91078590e-02,3.91882512e-02,1.73984841e-19,0.923880,-0.000000,0.382683,0.000000
36,36.00,0.090319,0.000000,-1.407883,2.50886450e-03,-1.26510696e-21,-3.91078590e-02,3.91882512e-02,2.01091241e-19,0.923880,-0.000000,0.382683,0.000000
37,37.00,0.092828,0.000000,-1.446991,2.50886450e-03,3.71561793e-33,-3.91078590e-02,3.91882512e-02,1.75293055e-19,0.923880,-0.000000,0.382683,0.000000
38,38.00,0.095337,0.000000,-1.486099,2.50886450e-03,-1.42106931e-33,-3.91078590e-02,3.91882512e-02,4.25267383e-19,0.923880,-0.000000,0.382683,0.000000
39,39.00,0.097846,0.000000,-1.525206,2.50886450e-03,-1.73952207e-21,-3.91078590e-02,3.91882512e-02,3.30250886e-19,0.923880,-0.000000,0.382683,0.000000
40,40.00,0.100355,0.000000,-1.564314,2.50886450e-03,-1.10696859e-21,-3.91078590e-02,3.91882512e-02,4.34137039e-19,0.923880,-0.000000,0.382683,0.000000
