N,blob_radius,U_sim,U_theory,E_N_fraction,E_N_percent,log10_N,log10_E_N,runtime_seconds,solver
12,0.41642068286675,0.053053860694758724,0.05305164769729845,4.171401938168693e-05,0.004171401938168693,1.0791812460476249,-4.37971796140841,0.0008695125579833984,Cholesky
42,0.243553056072,0.053050603339934124,0.05305164769729845,1.968567254090151e-05,0.001968567254090151,1.6232492903979006,-4.705849743392776,0.0011255741119384766,Cholesky
162,0.13100877695,0.05305340704968185,0.05305164769729845,3.316301113666976e-05,0.003316301113666976,2.2095150145426308,-4.479346043240313,0.01014566421508789,Cholesky
642,0.067527675333,0.05304958350485308,0.05305164769729845,3.8909110931785855e-05,0.0038909110931785854,2.807535028068853,-4.409948692656314,0.18506264686584473,Cholesky
2562,0.034204978919,0.053053236596988206,0.05305164769729845,2.9950053555790268e-05,0.002995005355579027,3.4085791254086675,-4.523602396681568,1.068331241607666,GMRES (Numba)
