N,force,sphere_type,Rg,Rh_nominal,blob_radius,Ux,Uy,Uz,U_mag,U_theory,absolute_error,relative_error_percent,Omega_mag,alignment_angle_deg,runtime_seconds,solver_method,source
12,0.1,Rg_geometric,1.0,1.2625,0.525731112119,5.919250604249573e-20,7.207030443822242e-19,0.004202285995625867,0.004202285995625867,0.005305164769729845,0.0011028787741039778,20.78877512715104,2.8072102223702834e-19,0.0,0.0022792816162109375,Cholesky,Computed in Phase 1 Force-Resolution Sweep
12,0.5,Rg_geometric,1.0,1.2625,0.525731112119,2.959625302124786e-19,3.603515221911121e-18,0.021011429978129336,0.021011429978129336,0.026525823848649224,0.005514393870519888,20.788775127151037,1.4036051111851418e-18,0.0,0.0010137557983398438,Cholesky,Computed in Phase 1 Force-Resolution Sweep
12,1.0,Rg_geometric,1.0,1.2625,0.525731112119,5.919250604249572e-19,7.207030443822241e-18,0.04202285995625867,0.04202285995625867,0.05305164769729845,0.011028787741039776,20.788775127151037,2.8072102223702835e-18,0.0,0.003502368927001953,Cholesky,Phase 1C Resolution Sweep (cached)
12,2.0,Rg_geometric,1.0,1.2625,0.525731112119,1.1838501208499145e-18,1.4414060887644483e-17,0.08404571991251734,0.08404571991251734,0.1061032953945969,0.022057575482079553,20.788775127151037,5.614420444740567e-18,0.0,0.0008485317230224609,Cholesky,Computed in Phase 1 Force-Resolution Sweep
12,5.0,Rg_geometric,1.0,1.2625,0.525731112119,2.9596253021247863e-18,3.603515221911121e-17,0.21011429978129337,0.21011429978129337,0.2652582384864922,0.05514393870519885,20.788775127151027,1.4036051111851416e-17,0.0,0.0006842613220214844,Cholesky,Computed in Phase 1 Force-Resolution Sweep
12,10.0,Rg_geometric,1.0,1.2625,0.525731112119,5.9192506042495726e-18,7.207030443822242e-17,0.42022859956258674,0.42022859956258674,0.5305164769729844,0.1102878774103977,20.788775127151027,2.807210222370283e-17,0.0,0.0006413459777832031,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,0.1,Rg_geometric,1.0,1.122,0.273266528913,-3.7230290928988177e-20,4.832655869733645e-19,0.004728217766483638,0.004728217766483638,0.005305164769729845,0.0005769470032462075,10.875194801453592,6.901207374193653e-19,0.0,0.0015938282012939453,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,0.5,Rg_geometric,1.0,1.122,0.273266528913,-1.8615145464494086e-19,2.4163279348668225e-18,0.023641088832418188,0.023641088832418188,0.026525823848649224,0.0028847350162310367,10.875194801453588,3.4506036870968262e-18,0.0,0.001428365707397461,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,1.0,Rg_geometric,1.0,1.122,0.273266528913,-3.723029092898817e-19,4.832655869733645e-18,0.047282177664836375,0.047282177664836375,0.05305164769729845,0.0057694700324620735,10.875194801453588,6.9012073741936524e-18,0.0,0.0011949539184570312,Cholesky,Phase 1C Resolution Sweep (cached)
42,2.0,Rg_geometric,1.0,1.122,0.273266528913,-7.446058185797634e-19,9.66531173946729e-18,0.09456435532967275,0.09456435532967275,0.1061032953945969,0.011538940064924147,10.875194801453588,1.3802414748387305e-17,0.0,0.001262664794921875,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,5.0,Rg_geometric,1.0,1.122,0.273266528913,-1.8615145464494085e-18,2.4163279348668226e-17,0.2364108883241819,0.2364108883241819,0.2652582384864922,0.028847350162310326,10.875194801453574,3.4506036870968265e-17,0.0,0.0012962818145751953,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,10.0,Rg_geometric,1.0,1.122,0.273266528913,-3.723029092898817e-18,4.832655869733645e-17,0.4728217766483638,0.4728217766483638,0.5305164769729844,0.05769470032462065,10.875194801453574,6.901207374193653e-17,0.0,0.0011680126190185547,Cholesky,Computed in Phase 1 Force-Resolution Sweep
162,0.1,Rg_geometric,1.0,1.053,0.137952242128,1.4091267201780372e-20,5.57515730775162e-19,0.005038310261153683,0.005038310261153683,0.005305164769729845,0.0002668545085761625,5.030088982321119,8.639077489230515e-19,0.0,0.010553598403930664,Cholesky,Computed in Phase 1 Force-Resolution Sweep
162,0.5,Rg_geometric,1.0,1.053,0.137952242128,7.045633600890186e-20,2.78757865387581e-18,0.02519155130576841,0.02519155130576841,0.026525823848649224,0.0013342725428808141,5.030088982321126,4.319538744615257e-18,0.0,0.011043548583984375,Cholesky,Computed in Phase 1 Force-Resolution Sweep
162,1.0,Rg_geometric,1.0,1.053,0.137952242128,1.4091267201780372e-19,5.57515730775162e-18,0.05038310261153682,0.05038310261153682,0.05305164769729845,0.0026685450857616283,5.030088982321126,8.639077489230514e-18,0.0,0.010501384735107422,Cholesky,Phase 1C Resolution Sweep (cached)
162,2.0,Rg_geometric,1.0,1.053,0.137952242128,2.8182534403560743e-19,1.115031461550324e-17,0.10076620522307364,0.10076620522307364,0.1061032953945969,0.005337090171523257,5.030088982321126,1.7278154978461028e-17,0.0,0.010785818099975586,Cholesky,Computed in Phase 1 Force-Resolution Sweep
162,5.0,Rg_geometric,1.0,1.053,0.137952242128,7.045633600890186e-19,2.78757865387581e-17,0.2519155130576841,0.2519155130576841,0.2652582384864922,0.0133427254288081,5.030088982321111,4.319538744615257e-17,0.0,0.010991334915161133,Cholesky,Computed in Phase 1 Force-Resolution Sweep
162,10.0,Rg_geometric,1.0,1.053,0.137952242128,1.4091267201780373e-18,5.57515730775162e-17,0.5038310261153682,0.5038310261153682,0.5305164769729844,0.0266854508576162,5.030088982321111,8.639077489230515e-17,0.0,0.01079416275024414,Cholesky,Computed in Phase 1 Force-Resolution Sweep
642,0.1,Rg_geometric,1.0,1.0239,0.069141586774,-1.0710431377731442e-20,-2.9674836199296685e-18,0.0051811293587995045,0.0051811293587995045,0.005305164769729845,0.00012403541093034074,2.338012414582497,5.901787234937721e-19,0.0,0.3309648036956787,Cholesky,Computed in Phase 1 Force-Resolution Sweep
