shape,N_blobs,sphere_type,blob_radius,R_g,R_h,force_x,force_y,force_z,force_magnitude,viscosity,orientation,velocity_x,velocity_y,velocity_z,simulation_velocity,omega_x,omega_y,omega_z,angular_velocity,angle_U_F_deg,theoretical_velocity,absolute_error,relative_error_percent,runtime_seconds,pass_omega,pass_align,pass_speed,verdict
sphere,42,Rg_geometric,0.273266528913,1.0,1.122,0.0,0.0,1.0,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",-3.723029092898817e-19,4.832655869733645e-18,0.047282177664836375,0.047282177664836375,1.1761404243463005e-18,5.713084257671152e-18,3.688363483795139e-18,6.9012073741936524e-18,0.0,0.047283108464615364,9.307997789892442e-07,0.0019685672309082947,0.0010347366333007812,True,True,True,PASSED
sphere,162,Rg_geometric,0.137952242128,1.0,1.053,0.0,0.0,1.0,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",1.4091267201780372e-19,5.57515730775162e-18,0.05038310261153682,0.05038310261153682,-2.8626274995134548e-18,-5.812356234983815e-18,5.714502485921546e-18,8.639077489230514e-18,0.0,0.050381431811299573,1.67080023724675e-06,0.003316301615850509,0.00917673110961914,True,True,True,PASSED
