shape,N_blobs,sphere_type,blob_radius,R_g,R_h,force_x,force_y,force_z,force_magnitude,viscosity,orientation,velocity_x,velocity_y,velocity_z,simulation_velocity,omega_x,omega_y,omega_z,angular_velocity,angle_U_F_deg,theoretical_velocity,absolute_error,relative_error_percent,runtime_seconds,pass_omega,pass_align,pass_speed,verdict
sphere,42,Rh_calibrated,0.243553056072,0.8913,1.0,0.0,0.0,1.0,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",3.124574504388448e-19,1.0411064826878193e-17,0.053050603339934124,0.053050603339934124,2.3129279056178864e-18,7.326568203611905e-18,-8.498642008635512e-18,1.1456664136200694e-17,0.0,0.05305164769729845,1.0443573643242887e-06,0.001968567254090151,0.0018155574798583984,True,True,True,PASSED
sphere,162,Rh_calibrated,0.13100877695,0.9497,1.0,0.0,0.0,1.0,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",1.1718392920936476e-19,-1.7612282055803533e-20,0.05305340704968185,0.05305340704968185,1.6788878641833757e-18,-4.149576800226921e-18,6.802932339569226e-18,8.143558220964626e-18,0.0,0.05305164769729845,1.759352383404189e-06,0.003316301113666976,0.009797811508178711,True,True,True,PASSED
