N,direction,Fx,Fy,Fz,Ux,Uy,Uz,U_mag,U_parallel,U_transverse_mag,U_theory,absolute_error,relative_error_percent,Omega_x,Omega_y,Omega_z,Omega_mag,alignment_angle_deg,runtime_seconds,solver_method
42,horizontal_x,1.0,0.0,0.0,0.05305060333993416,-9.764295326213905e-19,-3.124574504388539e-19,0.05305060333993416,0.05305060333993416,1.0252045115536586e-18,0.05305164769729845,1.0443573642895942e-06,0.001968567254024753,3.328876924703194e-19,-1.7667297952617562e-18,1.115584626158373e-18,2.1158160230475565e-18,0.0,0.01727008819580078,Cholesky
42,lateral_y,0.0,1.0,0.0,9.764295326213901e-19,0.05305060333993411,5.663593956938464e-18,0.05305060333993411,0.05305060333993411,5.747148087638347e-18,0.05305164769729845,1.0443573643381665e-06,0.0019685672541163097,-2.524290851230257e-18,-1.5094357623585959e-18,-9.038904621287e-18,9.505379391429641e-18,0.0,0.0009894371032714844,Cholesky
42,vertical_z,0.0,0.0,1.0,3.124574504388448e-19,1.0411064826878193e-17,0.053050603339934124,0.053050603339934124,0.053050603339934124,1.0415752516635319e-17,0.05305164769729845,1.0443573643242887e-06,0.001968567254090151,2.3129279056178864e-18,7.326568203611905e-18,-8.498642008635512e-18,1.1456664136200694e-17,0.0,0.0008783340454101562,Cholesky
162,horizontal_x,1.0,0.0,0.0,0.05305340704968184,-4.052610885157213e-19,-1.1718392920936447e-19,0.05305340704968184,0.05305340704968184,4.2186327539843127e-19,0.05305164769729845,1.7593523833903113e-06,0.003316301113640817,-1.1913884927770883e-19,7.148330956662545e-19,-1.205350076676822e-18,1.4064313802713012e-18,0.0,0.01060938835144043,Cholesky
162,lateral_y,0.0,1.0,0.0,4.0526108851571978e-19,0.053053407049681825,2.0281247231888704e-17,0.053053407049681825,0.053053407049681825,2.0285295803385716e-17,0.05305164769729845,1.7593523833764335e-06,0.003316301113614658,-2.0788125251016736e-19,-4.1722456240492026e-18,2.4820914328576694e-18,4.859179564865694e-18,0.0,0.009494543075561523,Cholesky
162,vertical_z,0.0,0.0,1.0,1.1718392920936476e-19,-1.7612282055803533e-20,0.05305340704968185,0.05305340704968185,0.05305340704968185,1.1850006643103027e-19,0.05305164769729845,1.759352383404189e-06,0.003316301113666976,1.6788878641833757e-18,-4.149576800226921e-18,6.802932339569226e-18,8.143558220964626e-18,0.0,0.008512496948242188,Cholesky
642,horizontal_x,1.0,0.0,0.0,0.05304958350485308,-5.858351949463619e-20,1.2204899894715868e-19,0.05304958350485308,0.05304958350485308,1.3538089562557178e-19,0.05305164769729845,2.064192445368207e-06,0.0038909110931785854,4.8693644850991386e-20,5.879987302761213e-19,-3.527992381656726e-19,6.874451834913707e-19,0.0,0.19348907470703125,Cholesky
642,lateral_y,0.0,1.0,0.0,5.858351949463672e-20,0.05304958350485306,4.7741141068853286e-18,0.05304958350485306,0.05304958350485306,4.7744735347803405e-18,0.05305164769729845,2.0641924453890237e-06,0.003890911093217824,-1.1518777050662373e-17,2.979351959936736e-18,7.863152779922588e-18,1.426141418248728e-17,0.0,0.19156455993652344,Cholesky
642,vertical_z,0.0,0.0,1.0,-1.2204899894715984e-19,-9.816953894407387e-18,0.05304958350485308,0.05304958350485308,0.05304958350485308,9.817712550439861e-18,0.05305164769729845,2.064192445368207e-06,0.0038909110931785854,-3.890800311252222e-18,9.16338102611087e-19,2.5100939068333093e-18,4.720018432321952e-18,0.0,0.20776748657226562,Cholesky
